"";"Date";"month_year";"day_year";"year";"day_abs";"week_abs";"month_abs";"week_year";"week_year_num"
"136";2006-05-16;"05";"16";"2006";136;21;1;"2006-W20";"20"
"137";2006-05-17;"05";"17";"2006";137;21;1;"2006-W20";"20"
"138";2006-05-18;"05";"18";"2006";138;21;1;"2006-W20";"20"
"139";2006-05-19;"05";"19";"2006";139;21;1;"2006-W20";"20"
"140";2006-05-20;"05";"20";"2006";140;21;1;"2006-W20";"20"
"141";2006-05-21;"05";"21";"2006";141;21;1;"2006-W20";"20"
"142";2006-05-22;"05";"22";"2006";142;22;1;"2006-W21";"21"
"143";2006-05-23;"05";"23";"2006";143;22;1;"2006-W21";"21"
"144";2006-05-24;"05";"24";"2006";144;22;1;"2006-W21";"21"
"145";2006-05-25;"05";"25";"2006";145;22;1;"2006-W21";"21"
"146";2006-05-26;"05";"26";"2006";146;22;1;"2006-W21";"21"
"147";2006-05-27;"05";"27";"2006";147;22;1;"2006-W21";"21"
"148";2006-05-28;"05";"28";"2006";148;22;1;"2006-W21";"21"
"149";2006-05-29;"05";"29";"2006";149;23;1;"2006-W22";"22"
"150";2006-05-30;"05";"30";"2006";150;23;1;"2006-W22";"22"
"151";2006-05-31;"05";"31";"2006";151;23;1;"2006-W22";"22"
"152";2006-06-01;"06";"01";"2006";152;23;1;"2006-W22";"22"
"153";2006-06-02;"06";"02";"2006";153;23;1;"2006-W22";"22"
"154";2006-06-03;"06";"03";"2006";154;23;1;"2006-W22";"22"
"155";2006-06-04;"06";"04";"2006";155;23;1;"2006-W22";"22"
"156";2006-06-05;"06";"05";"2006";156;24;1;"2006-W23";"23"
"157";2006-06-06;"06";"06";"2006";157;24;1;"2006-W23";"23"
"158";2006-06-07;"06";"07";"2006";158;24;1;"2006-W23";"23"
"159";2006-06-08;"06";"08";"2006";159;24;1;"2006-W23";"23"
"160";2006-06-09;"06";"09";"2006";160;24;1;"2006-W23";"23"
"161";2006-06-10;"06";"10";"2006";161;24;1;"2006-W23";"23"
"162";2006-06-11;"06";"11";"2006";162;24;1;"2006-W23";"23"
"163";2006-06-12;"06";"12";"2006";163;25;1;"2006-W24";"24"
"164";2006-06-13;"06";"13";"2006";164;25;1;"2006-W24";"24"
"165";2006-06-14;"06";"14";"2006";165;25;1;"2006-W24";"24"
"166";2006-06-15;"06";"15";"2006";166;25;1;"2006-W24";"24"
"167";2006-06-16;"06";"16";"2006";167;25;1;"2006-W24";"24"
"168";2006-06-17;"06";"17";"2006";168;25;1;"2006-W24";"24"
"169";2006-06-18;"06";"18";"2006";169;25;1;"2006-W24";"24"
"170";2006-06-19;"06";"19";"2006";170;26;1;"2006-W25";"25"
"171";2006-06-20;"06";"20";"2006";171;26;1;"2006-W25";"25"
"172";2006-06-21;"06";"21";"2006";172;26;1;"2006-W25";"25"
"173";2006-06-22;"06";"22";"2006";173;26;1;"2006-W25";"25"
"174";2006-06-23;"06";"23";"2006";174;26;1;"2006-W25";"25"
"175";2006-06-24;"06";"24";"2006";175;26;1;"2006-W25";"25"
"176";2006-06-25;"06";"25";"2006";176;26;1;"2006-W25";"25"
