annee;date_decl;ville_stat;N_INSEE;nom_chev;race;age;sexe;Utilisation;hve1;hvesp;WN;cas;decl,
2009;07.09.2009;ROUTOT (ST_PAUL);27500;GALAXIE_DES_RAYEUX;97;15;1;NA;0;NA;0;0;1,
2006;07.11.2006;ETREHAM;14256;COQUETRY;90;6;1;NA;NA;NA;NA;0;1,
2010;07.11.2010;AIGUES_MORTES;30003;CALIENTE;89;8;2;2;0;1;0;1;1,
2012;07.11.2012;SEVRES;92072;MISSTIC;111;1;12;1;0;0;0;0;1,
2012;07.12.2012;AUNOU_SUR_ORNE;61015;ZAFONIA;90;1;NA;3;1;0;3;1;1,
2008;08.01.2008;BIEVILLE_QUETIEVILLE;14527;IPSOS_DE_PITZ;108;12;3;NA;1;NA;0;1;1,
2008;08.01.2008;BIEVILLE_QUETIEVILLE;14527;N08/FAC_DE_PITZ;108;NA;3;NA;1;NA;NA;1;1,
2008;08.01.2008;BIEVILLE_QUETIEVILLE;14527;N08/ITALIA_DE_PITZ;108;NA;1;NA;1;NA;NA;1;1,
2008;08.01.2008;BIEVILLE_QUETIEVILLE;14527;ROCQUEUR_DANOVEUR;108;3;3;NA;1;NA;NA;1;1,
2008;08.01.2008;BIEVILLE_QUETIEVILLE;14527;SO_LOVE;108;NA;3;NA;1;NA;NA;1;1,
2011;08.01.2011;AUBAGNE;13005;PRICELESS;97;8;2;5;0;0;0;0;1,
2012;08.01.2012;NULLEMONT;76479;BILOUTE_DU_BOULOIS;108;1;0.9;2;0;1;0;1;1,
2007;08.02.2007;HEILLES;60307;POLKA;97;0.5;1;4;NA;NA;0;0;1,
2007;08.02.2007;LES_EPESSES;85082;TANGO_L;89;5;2;6;1;0;0;1;1,
2008;08.03.2008;WITTRING;57748;NIGHTY_NIGHT;113;9;1;1;0;NA;NA;0;1,
2008;08.04.2008;TALMAS;80746;PONEY;100;NA;NA;4;0;1;NA;1;1,
2010;08.06.2010;BEDARIEUX;34028;UNIQUE;NA;NA;NA;1;0;0;0;0;1,
2010;08.06.2010;BEDARIEUX;34028;URIELLE;NA;NA;NA;1;0;0;0;0;1,
2011;08.07.2011;TERMES;8441;HAZURE_DEGRANI_PONDI;37;16;1;3;0;0;0;0;1,
2012;08.07.2012;LE_PUY_SAINT_REPARADE;13080;AFRICAAN_ROYAL;74;1;11;5;0;0;0;0;1,
2007;08.08.2007;VARENNES_JARCY;91631;SYMPHONIE;97;1;1;NA;1;NA;NA;1;1,
2012;08.08.2012;CALAIS;62193;ANE;22;3;0.5;1;0;0;0;0;1,
2009;08.09.2009;CRUGUEL;56051;SITOUNE_DE_LA_POINTE;15;3;3;4;0;NA;0;0;1,
2010;08.10.2010;BOISSY_SAINT_LEGER;94004;QUALEANE_MAISON_NEUIVE;35;6;1;2;0;0;0;0;1,
2012;08.10.2012;MAUSSANE_LES_ALPILLES;13058;SALTARIN_X;NA;3;NA;4;0;0;0;0;1,
2010;08.12.2010;MOYON;50363;UGO_DE_MOYON;97;2;2;1;0;1;0;1;1,
2011;08.12.2011;PESCHADOIRES;63276;ANAKIN_LA_TUILERIE;97;2;3;1;0;1;0;1;1,
2008;09.01.2008;LOURY;45188;KALIPSO;116;10;2;4;NA;NA;NA;0;1,
2011;09.01.2011;SCAER;29274;EDEN;NA;19;2;4;0;0;0;0;1,
2011;09.02.2011;BOISSERON;34033;MELTEMI;91;12;1;3;1;0;0;1;1,
2011;09.05.2011;LA_ROCHE_SUR_YON;85191;QUADRILLE_DU_JOUR;NA;NA;1;4;0;0;0;0;1,
2006;09.06.2006;SAINT_CHRISTOPHE_DES_BOIS;35260;NICOBA;97;5;1;5;0;NA;NA;0;1,
2011;09.06.2011;LE_MESNIL_VILLEMAN;50326;CARLIN;86;21;2;4;0;0;NA;0;1,
2012;09.06.2012;LA_VALLEE;17455;MONGUILHEM;90;3;3;2;0;1;0;1;1,
2009;09.07.2009;GENISSIEUX;26139;BRIGAND;97;19;2;4;0;NA;0;0;1,
2009;09.08.2009;GERMOND_ROUVRE;79133;SISTER_SABRE;90;3;1;3;0;0;NA;0;1,
2006;09.10.2006;HERBIGNAC;44072;HARRY;75;17;2;4;0;NA;NA;0;1,
2009;09.10.2009;MONTMURAT;15133;DURGA;75;16;1;4;1;0;NA;1;1,
2011;09.10.2011;GUERANDE;44069;FILOU_DES_MOYEUX;NA;18;2;1;0;0;0;0;1,
2009;09.12.2009;ANCERVILLERS;54014;ISABEAU;116;13;2;1;0;0;0;0;1,
2009;09.12.2009;DAMMARIE_LES_LYS;77152;ESPOIR_DE_LONGCHAMP;97;17;2;3;0;0;0;0;1,
2008;10.01.2008;ENTRAIGUES;63149;PONPON;100;8;2;4;0;NA;NA;0;1,
2008;10.01.2008;NANTES;44109;MARIE_NOELLE;108;NA;1;NA;NA;NA;NA;0;1,
2009;10.01.2009;ADELANGE;57008;EMSA;71;7;1;4;0;0;0;0;1,
2010;10.01.2010;LONGEVILLE_LES_SAINT_AVOLD;57413;PHARAON;97;29;2;2;0;1;NA;1;1,
2009;10.02.2009;SAINT_LAURENT_D_AIGOUZE;30276;U;28;1;1;4;0;NA;NA;0;1,
