annee;date_decl;ville_stat;N_INSEE;nom_chev;race;age;sexe;Utilisation;hve1;hvesp;WN;cas;decl,
2013;22.09.2013;SAINT GILLES;30258;PRINCESSE;10;10;1;2;0;1;0;1;1,
2013;30.09.2013;ROZ LANDRIEUX;35246;VALDESS WINZER;53;5;2;4;1;1;0;1;1,
2013;02.10.2013;plerguer;35224;Myrtille;NA;NA;1;3;0;NA;NA;0;1,
2013;02.10.2013;Maisons Laffitte;78358;Maya;97;14;1;NA;0;0;0;0;1,
2013;15.10.2013;Villemaur sur vannes;10415;TITUS;97;16;2;NA;0;NA;NA;0;1,
2013;15.10.2013;SANRY LES VIGY;57626;QUEEN ;17;NA;1;3;0;NA;0;0;1,
2013;21.10.2013;saint laurent daigouze;30276;alcazar;89;6;2;4;0;0;0;0;1,
2013;23.10.2013;CHAMBERET;19036;Foal Sary;10;0,5;3;3;0;1;0;1;1
2013;07.11.2013;Vigneux de Bretagne;44217;Coquine;97;1;1;4;0;1;NA;1;1,
2013;12.11.2013;Mannevillette;76409;Bellini de Saulieu;96;6;2;NA;0;NA;NA;0;1,
2013;25.11.2013;ALLAN;26005;ROYAL SON GRANIT;37;8;3;3;0;0;0;0;1,
2013;27.11.2013;MURET;31395;ROCK DE LORANE;97;8;2;4;0;NA;NA;0;1,
2013;02.12.2013;Saint Jean Pla de Corts;66178;valasco de Gama;10;25;2;4;0;0;0;0;1,
2013;23.12.2013;st andré de sangonis;34239;cardabelle;5;2;1;4;0;1;0;1;1,
2013;23.12.2013;ARRO;20022;cardabelle;5;2;1;4;0;1;0;1;1,
