"";"grid_no";"Code2";"year";"month";"Hrel50_ee";"Hrel5_ee";"Hrel95_ee";"Vrel50_ee";"Vrel5_ee";"Vrel95_ee";"tot_grid"
"176";100089;"FR30";2011;8;0,000611781;0,000490418;0,000752033;0;0;0;21
"177";100089;"FR30";2011;11;0,000438924;0,000351846;0,00053956;0;0;0;21
"178";100089;"FR30";2010;12;1,33e-05;1,07e-05;1,63e-05;0;0;0;21
"179";100089;"FR30";2011;4;0;0;0;0;0;0;21
"180";100089;"FR30";2011;7;0,000359134;0,000287883;0,000441479;3,76e-06;1,82e-07;1,54e-05;21
"181";100090;"FR30";2010;10;0,000580547;0,000475207;0,000697418;2,36e-06;1,11e-07;9,91e-06;21
"182";100090;"FR30";2011;8;0,000611781;0,000490418;0,000752033;0;0;0;21
"183";100090;"FR30";2010;6;0;0;0;0;0;0;21
"184";100090;"FR30";2010;5;0;0;0;0;0;0;21
"185";100090;"FR30";2011;2;0;0;0;0;0;0;21
"186";100090;"FR30";2011;1;0;0;0;0;0;0;21
"187";100090;"FR30";2012;4;0;0;0;0;0;0;21
"188";100090;"FR30";2012;2;0;0;0;0;0;0;21
"189";100090;"FR30";2010;1;0;0;0;0;0;0;21
"190";100090;"FR30";2012;12;2,66e-05;2,13e-05;3,27e-05;0;0;0;21
"191";100090;"FR30";2011;7;0,000359134;0,000287883;0,000441479;3,76e-06;1,82e-07;1,54e-05;21
"192";100090;"FR30";2012;5;0;0;0;0;0;0;21
"193";100090;"FR30";2010;11;0,000140056;0,00011441;0,000168607;2,11e-06;9,5e-08;8,75e-06;21
"194";100090;"FR30";2012;3;0;0;0;0;0;0;21
"195";100090;"FR30";2010;3;0;0;0;0;0;0;21
"196";100090;"FR30";2010;4;0;0;0;0;0;0;21
"197";100090;"FR30";2011;6;0;0;0;0;0;0;21
"198";100090;"FR30";2011;9;0,000758021;0,000607656;0,000931784;0;0;0;21
"199";100090;"FR30";2012;8;2,66e-05;2,13e-05;3,27e-05;0;0;0;21
"200";100090;"FR30";2012;6;0;0;0;0;0;0;21
"201";100090;"FR30";2010;12;1,33e-05;1,07e-05;1,63e-05;0;0;0;21
"202";100090;"FR30";2012;10;0,001063727;0,000852745;0,001307521;0;0;0;21
"203";100090;"FR30";2011;5;0;0;0;0;0;0;21
"204";100090;"FR30";2012;7;0,00071814;0,000575683;0,000882764;0;0;0;21
"205";100090;"FR30";2012;1;0;0;0;0;0;0;21
"206";100090;"FR30";2011;3;0;0;0;0;0;0;21
"207";100090;"FR30";2012;11;0,000399024;0,000319865;0,000490519;0;0;0;21
"208";100090;"FR30";2010;9;0,00035289;0,000285698;0,000430224;4,64e-07;2,24e-08;1,94e-06;21
"209";100090;"FR30";2010;2;0;0;0;0;0;0;21
"210";100090;"FR30";2011;4;0;0;0;0;0;0;21
"211";100090;"FR30";2011;10;0,00051299;0,000415684;0,000624103;9,42e-07;4,45e-08;3,96e-06;21
"212";100090;"FR30";2012;9;0,000445919;0,000360189;0,000544534;4,64e-07;2,24e-08;1,94e-06;21
"213";100090;"FR30";2011;11;0,000438924;0,000351846;0,00053956;0;0;0;21
"214";100090;"FR30";2010;8;0,000133028;0,000106633;0,000163534;0;0;0;21
"215";100090;"FR30";2011;12;0,000180377;0,000147137;0,000216525;1,4e-06;6,68e-08;5,88e-06;21
"216";100090;"FR30";2010;7;0,000478817;0,000383825;0,000588596;1,65e-06;7,97e-08;6,72e-06;21
"217";100091;"FR30";2011;12;0,000180377;0,000147137;0,000216525;1,4e-06;6,68e-08;5,88e-06;21
"218";100091;"FR30";2012;10;0,001063727;0,000852745;0,001307521;0;0;0;21
"219";100091;"FR30";2012;12;2,66e-05;2,13e-05;3,27e-05;0;0;0;21
"220";100091;"FR30";2010;12;1,33e-05;1,07e-05;1,63e-05;0;0;0;21
"221";100091;"FR30";2010;4;0;0;0;0;0;0;21
"222";100091;"FR30";2011;10;0,00051299;0,000415684;0,000624103;9,42e-07;4,45e-08;3,96e-06;21
"223";100091;"FR30";2012;7;0,00071814;0,000575683;0,000882764;0;0;0;21
"224";100091;"FR30";2010;9;0,00035289;0,000285698;0,000430224;4,64e-07;2,24e-08;1,94e-06;21
"225";100091;"FR30";2010;7;0,000478817;0,000383825;0,000588596;1,65e-06;7,97e-08;6,72e-06;21
"226";100091;"FR30";2010;11;0,000140056;0,00011441;0,000168607;2,11e-06;9,5e-08;8,75e-06;21
"227";100091;"FR30";2012;4;0;0;0;0;0;0;21
"228";100091;"FR30";2011;7;0,000359134;0,000287883;0,000441479;3,76e-06;1,82e-07;1,54e-05;21
"229";100091;"FR30";2012;2;0;0;0;0;0;0;21
"230";100091;"FR30";2011;11;0,000438924;0,000351846;0,00053956;0;0;0;21
"231";100091;"FR30";2010;10;0,000580547;0,000475207;0,000697418;2,36e-06;1,11e-07;9,91e-06;21
"232";100091;"FR30";2010;1;0;0;0;0;0;0;21
"233";100091;"FR30";2012;3;0;0;0;0;0;0;21
"234";100091;"FR30";2010;5;0;0;0;0;0;0;21
"235";100091;"FR30";2011;4;0;0;0;0;0;0;21
"236";100091;"FR30";2011;1;0;0;0;0;0;0;21
"237";100091;"FR30";2012;11;0,000399024;0,000319865;0,000490519;0;0;0;21
